,Item ,Site Fabricante ,Valor USD,Valor BRL,Custos Extra,Estimativa Total ,Condições 
,Exoesqueleto - Atalante X,https://en.wandercraft.eu/atalante-x-rehabilitation-exoskeleton,"246,000.00","1,353,000.00","$ 338,250.00","$ 1,691,250.00",FCA + 1 year Maintenance
,Exoesqueleto - NX A13,https://www.nxrehab.com/,"90,000.00","495,000.00","$ 123,750.00","$ 618,750.00",Ex Works - Instalação e Treinamento
,Exoesqueleto - ExoMotus M4,https://www.fftai.com/products-exomotus-m4,quote,,$ 0.00,$ 0.00,
,IMU Mocap - Xsense ,https://www.movella.com/products/motion-capture,quote,,$ 0.00,$ 0.00,"Sensores não muito caro, mas software sim, Anselmo não recomenda"
,IMU Mocap - Yost Labs PrioVR,https://yostlabs.com/priovr/,quote,,$ 0.00,$ 0.00,
,Mocap Chines - dica Luis,,quote,,$ 0.00,$ 0.00,
,FES - Stim2Go,https://pajunk.com/us/products/pain-management/fes-nmes-tens/,,"40,000.00","$ 10,000.00","$ 50,000.00",
,FES - manutenção Hasomed P4,,quote,,,,
,FES Cycling - Fesia Bike,https://fesiatechnology.com/en/fesia-bike/,quote,,,,
,FES Cycling - Myolin,https://myolyn.com/for-home/overview/,,,,,
,FES Cycling - RT300,https://restorative-therapies.com/rt300/,,,,,
,,,,,,,
,,,,,,,
,Material de Consumo. Assinaturas,,,,,,
,Item, Valor unitário , Meses/Anos , Qtde , Total ,,
,Github Team, $22.00 ,18,6," $2,376.00 ",,
,Claude Pro, $92.00 ,18,0, $-   ,,
,Google AI Pro, $96.99 ,18,0, $-   ,,
,Todoist Business , $396.00 ,2,0, $-   ,,
,Adobe Acrobat Pro, $997.50 ,2,0, R$ -   ,,
,Class Point," $1,152.00 ",2,0, $-   ,,
,Gamma, $840.00 ,2,0, $-   ,,
,Elicit, $66.00 ,18,0, $-   ,,
,Jenni, $610.00 ,2,0, $-   ,,
,Reserach Rabbit, $55.00 ,18,0, $-   ,,
,Consensus, $660.00 ,2,0, $-   ,,
,Perplexity, $110.00 ,18,0, $-   ,,
,Grammarly,#REF!,2,0,#REF!,,
,Dropbox Pro,,,6, $-   ,,
,,,,, $-   ,,
,,,,, $-   ,,
,,,,, $-   ,,
,,,,, R$ -   ,,
,,,,, R$ -   ,,
,,,,, R$ -   ,,
,,,,, R$ -   ,,
,,,,, $-   ,,
,Total,,,,#REF!,,
,,,,,,,
,Material de Consumo ,,,,,,
,Item, Valor unitário , Qtde , Total ,,,
,Prototipagem Smart Walker," $100,000.00 ",1," $100,000.00 ",,,
,Taxa Publicação Congresso ou Periódico," $15,000.00 ",8," $120,000.00 ",,,
,Material de escritório," $2,000.00 ",1," $2,000.00 ",,,
,Matlab acadêmico (licença vitalícia)," $3,025.00 ",1," $3,025.00 ",,,
,Revisão Textual para publicação em periódico científico (página), $200.00 ,36," $7,200.00 ",,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,,,, $-   ,,,
,Total,,," $232,225.00 ",,,
